Time (ms),Engagement (%)
90,0
136,0
182,0
228,0
281,0
320,1
376,1
425,1
458,2
489,2
521,2
555,2
617,2
648,2
693,3
722,3
756,3
785,3
817,3
864,3
900,3
928,4
957,4
1002,4
1050,4
1093,4
1141,4
1202,4
1242,4
1272,5
1324,5
1370,5
1417,5
1465,5
1506,5
1544,5
1589,5
1635,5
1681,5
1729,6
1773,6
1820,6
1866,6
1898,6
1943,6
1976,6
2021,6
2059,6
2100,6
2129,6
2160,6
2193,6
2224,6
2269,7
2302,7
2347,7
2378,7
2424,7
2472,7
2512,7
2564,7
2608,7
2655,7
2702,7
2750,7
2785,7
2827,7
2872,7
2920,7
2968,7
3013,7
3061,7
3107,8
3153,8
3200,8
3245,8
3289,8
3338,8
3385,8
3430,8
3476,8
3522,8
3585,8
3614,8
3661,8
3694,8
3724,9
3755,9
3786,9
3818,9
3848,9
3880,9
3927,9
3957,9
4005,9
4034,9
4067,9
4098,9
4128,9
4160,9
4205,9
4253,9
4299,9
4346,10
4393,10
4439,10
4472,10
4516,10
4562,10
4608,10
4654,10
4690,10
4722,11
4755,11
4788,11
4832,11
4880,11
4933,11
4993,12
5040,12
5089,12
5130,12
5178,12
5225,13
5271,13
5323,13
5382,13
5445,13
5492,13
5538,13
5601,14
5648,14
5690,14
5725,14
5788,14
5835,14
5880,14
5925,14
5956,14
5992,15
6050,15
6082,15
6114,15
6145,15
6176,15
6209,15
6267,15
6314,15
6361,15
6407,15
6449,15
6502,15
6548,15
6595,15
6632,15
6680,16
6734,16
6769,16
6811,16
6857,16
6904,16
6951,16
6997,16
7043,16
7090,16
7136,16
7183,16
7230,16
7276,16
7323,16
7370,16
7416,16
7462,16
7507,16
7570,16
7617,17
7667,17
7711,17
7760,17
7802,17
7850,17
7895,17
7941,17
7976,17
8019,18
8057,18
8113,18
8145,18
8191,18
8251,18
8297,18
8343,18
8391,18
8452,18
8498,18
8545,18
8592,18
8638,18
8685,18
8731,18
8778,18
8825,18
8873,18
8919,18
8967,18
9013,18
9059,18
9107,18
9154,18
9203,18
9247,18
9294,18
9339,18
9388,18
9434,18
9481,19
9520,19
9559,19
9605,19
9666,19
9713,19
9776,19
9823,19
9870,20
9912,20
9960,20
10009,20
10057,20
10103,20
10150,20
10196,20
10242,20
10288,20
10335,20
10382,20
10428,20
10460,20
10491,20
10507,20
10544,20
10572,20
10619,20
10661,20
10708,20
10755,20
10802,20
10847,20
10892,20
10941,20
10988,20
11036,20
11082,20
11131,20
11177,20
11224,20
11271,20
11316,20
11362,20
11409,20
11457,20
11503,20
11549,20
11595,20
11641,20
11688,20
11733,20
11780,20
11826,20
11873,20
11918,20
11966,20
11996,20
12027,20
12057,20
12090,20
12122,20
12153,20
12199,20
12231,20
12261,20
12292,20
12339,20
12384,20
12429,20
12471,20
12523,20
12571,20
12619,20
12666,20
12712,20
12760,20
12792,20
12824,20
12869,20
12917,20
12954,20
12995,20
13034,21
13087,21
13133,21
13179,21
13226,21
13274,21
13320,21
13368,21
13415,21
13462,21
13509,21
13554,21
13602,21
13649,21
13696,21
13743,21
13791,21
13837,21
13884,21
13932,21
13969,21
14025,21
14056,21
14089,22
14121,22
14152,22
14184,22
14215,22
14246,22
14277,22
14309,22
14342,22
14387,22
14449,22
14495,22
14526,22
14559,22
14591,22
14622,22
14668,22
14698,22
14729,22
14777,22
14822,22
14869,22
14915,22
14961,22
15009,22
15055,22
15102,22
15148,22
15194,22
15241,22
15287,22
15335,22
15381,22
15426,22
15467,22
15522,22
15569,22
15616,22
15662,22
15709,22
15755,22
15801,22
15847,22
15895,22
15941,22
15987,22
16034,22
16080,22
16127,22
16172,22
16219,22
16265,22
16312,22
16360,22
16405,22
16451,22
16513,22
16544,22
16575,22
16605,22
16654,22
16685,22
16732,22
16762,22
16795,22
16826,22
16857,22
16919,22
16950,22
16988,22
17028,22
17060,22
17105,22
17137,22
17169,22
17200,22
17248,22
17295,23
17341,23
17394,23
17435,23
17481,23
17513,23
17545,23
17591,23
17639,23
17684,23
17714,23
17746,23
17778,23
17809,23
17839,23
17870,23
17902,23
17933,23
17965,23
17997,23
18029,23
18057,23
18103,23
18151,23
18210,23
18259,23
18307,23
18355,23
18401,23
18448,23
18495,23
18541,23
18572,23
18618,23
18666,23
18713,23
18759,23
18806,23
18851,23
18914,23
18962,23
19008,23
19055,23
19102,23
19148,23
19197,23
19243,23
19291,23
19338,23
19385,23
19417,23
19463,23
19510,23
19542,23
19573,23
19621,24
19657,24
19713,24
19759,24
19806,24
19853,24
19899,24
19946,24
19992,24
20040,24
20088,24
20134,24
20181,24
20228,24
20274,24
20321,24
20366,24
20415,24
20460,24
20507,24
20553,24
20615,24
20662,24
20709,24
20756,24
20803,24
20849,24
20897,24
20943,24
20990,24
21036,24
21074,24
21115,24
21161,24
21208,24
21255,24
21302,24
21349,24
21395,24
21443,25
21491,25
21516,25
21559,25
21568,25
21615,25
21662,25
21708,25
21754,25
21801,25
21847,25
21894,25
21940,25
21987,25
22035,25
22081,25
22128,25
22175,25
22220,25
22268,25
22314,25
22362,25
22407,25
22456,25
22502,25
22548,25
22594,25
22642,25
22688,25
22735,25
22780,25
22826,25
22874,25
22921,25
22969,25
23016,25
23075,25
23121,25
23169,25
23215,25
23262,25
23309,25
23355,25
23402,25
23448,25
23510,25
23556,25
23604,25
23634,25
23665,25
23696,25
23727,25
23758,25
23789,25
23836,25
23882,25
23927,24
23976,24
24024,24
24055,24
24087,24
24119,24
24149,24
24180,24
24211,24
24242,24
24273,24
24305,24
24337,24
24370,24
24400,24
24432,24
24462,24
24509,24
24540,24
24572,24
24604,24
24649,24
24682,24
24714,24
24744,24
24774,24
24806,24
24838,24
24884,24
24914,24
24946,24
24976,24
25008,24
25039,24
25072,24
25103,24
25133,24
25165,24
25196,24
25228,24
25274,24
25306,24
25336,24
25367,24
25399,24
25431,24
25462,24
25508,24
25539,24
25572,24
25616,24
25663,24
25708,24
25756,24
25802,24
25849,24
25895,24
25942,24
25990,24
26035,24
26082,24
26128,24
26175,24
26223,24
26270,24
26318,24
26364,24
26410,24
26457,24
26503,24
26550,24
26598,24
26644,24
26690,24
26736,24
26783,24
26831,24
26879,24
26925,24
26974,24
27020,24
27066,24
27113,24
27160,24
27207,24
27254,24
27300,24
27346,24
27394,23
27441,23
27481,23
27534,23
27581,23
27628,23
27676,23
27721,23
27767,23
27814,23
27861,23
27908,23
27953,23
28001,23
28046,23
28095,23
28141,23
28185,23
28233,23
28279,23
28325,23
28373,23
28419,23
28465,23
28511,23
28558,23
28605,23
28652,23
28698,23
28744,23
28776,23
28822,23
28853,23
28883,23
28914,23
28960,23
29009,23
29039,23
29070,23
29102,23
29133,23
29179,23
29227,23
29259,23
29289,23
29321,23
29352,23
29398,23
29445,23
29477,23
29523,23
29570,23
29617,23
29648,23
29694,23
29742,23
29786,23
29834,23
29881,23
29927,23
29973,23
30019,23
30066,23
30113,23
30161,23
30208,23
30254,23
30302,23
30349,23
30395,23
30442,23
30488,23
30535,23
30581,23
30628,23
30676,23
30721,23
30767,23
30814,23
30862,23
30907,23
30953,23
31000,23
31047,23
31095,23
31140,23
31187,23
31233,23
31279,23
31326,23
31373,23
31419,23
31466,23
31513,23
31561,23
31607,23
31655,23
31701,23
31747,23
31795,23
31840,23
31886,23
31932,23
31963,23
31995,23
32044,23
32090,23
32136,23
32183,23
32230,23
32280,24
32325,24
32371,24
32418,24
32464,24
32528,24
32574,24
32620,24
32666,24
32697,24
32730,24
32761,24
32808,24
32854,24
32901,24
32948,24
32980,24
33026,24
33080,24
33136,24
33185,24
33231,24
33290,25
33323,25
33353,25
33384,25
33415,25
33446,25
33477,25
33517,25
33569,25
33632,25
33679,25
33725,25
33773,25
33819,25
33865,25
33913,25
33959,25
34007,25
34054,25
34099,25
34146,25
34192,25
34239,25
34284,25
34332,25
34380,25
34426,25
34472,25
34519,25
34567,25
34614,25
34660,25
34706,25
34754,25
34800,25
34846,25
34894,25
34941,25
34987,25
35034,25
35081,25
35129,25
35176,25
35222,25
35268,25
35316,25
35362,25
35409,25
35457,25
35502,25
35550,25
35595,25
35642,25
35688,25
35734,25
35781,25
35826,25
35871,25
35917,25
35965,25
36011,25
36058,25
36105,25
36150,25
36181,25
36212,25
36242,25
36274,25
36320,25
36351,25
36383,25
36416,25
36446,25
36477,25
